Intercensal Estimates of the Resident Population of States
  1970 to 1980.

Source: Population Distribution Branch
        Bureau of the Census

The 1971-79 estimates are consistent with those published in
Current Population Reports Series P-25, No. 998.  P-25 No. 998
also describes the methodology used to derive the estimates.

Note: Each State Fips code shows 23 lines of data (ages 62-64 are by sex).
No other state age-sex estimates are available for the 1970's.

Fip        Age  4/1/70  7/1/71  7/1/72  7/1/73  7/1/74  7/1/75  7/1/76  7/1/77  7/1/78  7/1/79  4/1/80
15 HI   62-64M    7508    8507    9330    9797   10084   10244   10287   10365   10308   10522   10601
15 HI   62-64F    5404    5850    6392    6830    7398    7911    8561    9115    9626   10324   10831
15 HI      65+   43983   47178   49594   52059   55456   58734   62116   65649   69566   73649   76150
16 ID      0-2   38793   41181   42071   42500   43019   45330   48199   51986   55333   58334   58032
16 ID      3-4   25144   25739   26819   28148   29376   29628   29672   30615   32733   34869   35499
16 ID     5-13  136500  136502  136981  136854  138125  138675  139606  140119  141378  143177  146233
16 ID       14   16182   16582   16831   17121   17682   18266   18016   17583   17121   16254   15719
16 ID       15   15967   16377   16913   17098   17522   18001   18560   18253   17827   17232   16432
16 ID       16   15853   16166   16548   17007   17308   17631   18062   18553   18246   17674   17130
16 ID       17   15179   16143   16437   16715   17276   17487   17768   18134   18656   18193   17620
16 ID       18   14626   15312   16196   16315   16753   17235   17453   17697   18158   18521   18209
16 ID       19   12530   14259   15154   15864   16267   16649   17219   17453   17867   18177   18591
16 ID       20   11823   12588   13962   14472   15511   15771   16173   16664   16939   17079   17685
16 ID       21   10881   11149   12094   12962   13835   14819   15267   15765   16433   16609   17202
16 ID       22   11296   11872   12007   12495   13629   14487   15556   16036   16637   17151   17229
16 ID       23   10798   11725   12560   12323   12992   14102   14977   16018   16539   16931   17023
16 ID       24    8606   12608   12707   13223   13030   13620   14736   15542   16575   16828   17095
16 ID    25-29   44429   46805   52422   56117   61181   65977   71779   74819   77773   80753   82461
16 ID    30-34   38657   41070   43762   47036   50316   53054   55216   61428   65800   70467   72941
16 ID    35-44   75015   76580   78845   80591   83388   85626   88879   92518   97909  101971  104326
16 ID    45-54   77946   78583   79479   79951   80843   81365   81649   81563   81769   81639   81449
16 ID    55-59   35177   35982   36445   37220   38315   39527   40359   41287   41735   41612   41182
16 ID    60-61   13130   13414   13543   13873   14150   14329   14555   14802   15086   15447   15820
16 ID   62-64M    8650    9071    9707    9900   10313   10315   10519   10502   10689   10680   10863
16 ID   62-64F    8416    8983    9587    9925   10287   10508   10866   11103   11302   11470   11514
16 ID      65+   67417   70062   72167   74362   76872   79581   81897   85031   88186   91558   93680
17 IL      0-2  551677  564636  556287  532319  497244  483710  480209  487288  490061  492287  516554
17 IL      3-4  385098  368541  361662  364735  376009  366963  338441  320170  317412  317445  325687
17 IL     5-13 2012991 1974238 1925065 1869041 1815751 1768504 1741041 1698798 1649482 1598220 1578007
17 IL       14  220064  228962  229513  228024  226083  228568  221667  216606  211273  201631  190991
17 IL       15  216154  218926  227306  227990  227078  225941  229174  222345  217455  211436  205698
